FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;GPC_DOM;QRESIDUOS_DOM;QRESIDUOS_NO_DOM;QRESIDUOS_MUN;PERIODO
20230614;14798;210708;SIERRA;PUNO;LAMPA;PUCARA;5336;1966;3370;0.44;315.74;135.32;451.06;2021
20230614;14799;210709;SIERRA;PUNO;LAMPA;SANTA LUCIA;7367;5455;1912;0.44;876.07;375.46;1251.53;2021
20230614;14800;210710;SIERRA;PUNO;LAMPA;VILAVILA;1080;391;689;0.44;62.79;26.91;89.71;2021
20230614;14801;210801;SIERRA;PUNO;MELGAR;AYAVIRI;26084;22554;3530;0.53;4363.07;1869.89;6232.96;2021
20230614;14802;210802;SIERRA;PUNO;MELGAR;ANTAUTA;5818;3619;2199;0.6;792.56;339.67;1132.23;2021
20230614;14803;210803;SIERRA;PUNO;MELGAR;CUPI;1985;255;1730;0.44;40.95;17.55;58.5;2021
20230614;14804;210804;SIERRA;PUNO;MELGAR;LLALLI;2416;1524;892;0.44;244.75;104.89;349.65;2021
20230614;14805;210805;SIERRA;PUNO;MELGAR;MACARI;7186;2921;4265;0.38;405.14;173.63;578.78;2021
20230614;14806;210806;SIERRA;PUNO;MELGAR;NUÑOA;8152;3940;4212;0.29;417.05;178.74;595.78;2021
20230614;14807;210807;SIERRA;PUNO;MELGAR;ORURILLO;7358;890;6468;0.44;142.93;61.26;204.19;2021
20230614;14808;210808;SIERRA;PUNO;MELGAR;SANTA ROSA;6287;2721;3566;0.44;436.99;187.28;624.28;2021
20230614;14809;210809;SIERRA;PUNO;MELGAR;UMACHIRI;3856;648;3208;0.44;104.07;44.6;148.67;2021
20230614;14810;210901;SIERRA;PUNO;MOHO;MOHO;10662;2700;7962;0.42;413.91;177.39;591.3;2021
20230614;14811;210902;SIERRA;PUNO;MOHO;CONIMA;3252;844;2408;0.44;135.55;58.09;193.64;2021
20230614;14812;210903;SIERRA;PUNO;MOHO;HUAYRAPATA;2415;823;1592;0.44;132.17;56.65;188.82;2021
20230614;14813;210904;SIERRA;PUNO;MOHO;TILALI;2497;707;1790;0.44;113.54;48.66;162.21;2021
20230614;14814;211001;SIERRA;PUNO;SAN ANTONIO DE PUTINA;PUTINA;13547;9548;3999;0.32;1115.21;477.95;1593.15;2021
20230614;14815;211002;SIERRA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;11145;9879;1266;0.79;2848.61;1220.83;4069.44;2021
20230614;14816;211003;SIERRA;PUNO;SAN ANTONIO DE PUTINA;PEDRO VILCA APAZA;1884;633;1251;0.3;69.31;29.71;99.02;2021
20230614;14817;211004;SIERRA;PUNO;SAN ANTONIO DE PUTINA;QUILCAPUNCU;5557;2308;3249;0.44;370.66;158.86;529.52;2021
20230614;14818;211005;SIERRA;PUNO;SAN ANTONIO DE PUTINA;SINA;1867;593;1274;0.44;95.24;40.82;136.05;2021
